ID,Translation-English
K428,http://wordnet-rdf.princeton.edu/wn31/200566356-v
K428,http://wordnet-rdf.princeton.edu/wn31/200566558-v
K428,http://wordnet-rdf.princeton.edu/wn31/302425406-s
K429,http://wordnet-rdf.princeton.edu/wn31/102203282-n
K429,http://wordnet-rdf.princeton.edu/wn31/102204939-n
K429,http://wordnet-rdf.princeton.edu/wn31/102206901-n
K431,http://wordnet-rdf.princeton.edu/wn31/100173531-n
K431,http://wordnet-rdf.princeton.edu/wn31/106343357-n
K431,http://wordnet-rdf.princeton.edu/wn31/108073958-n
K431,http://wordnet-rdf.princeton.edu/wn31/108354251-n
K431,http://wordnet-rdf.princeton.edu/wn31/109213796-n
K431,http://wordnet-rdf.princeton.edu/wn31/109796453-n
K431,http://wordnet-rdf.princeton.edu/wn31/109796794-n
K431,http://wordnet-rdf.princeton.edu/wn31/110393500-n
K431,http://wordnet-rdf.princeton.edu/wn31/114023888-n
K431,http://wordnet-rdf.princeton.edu/wn31/114031031-n
K431,http://wordnet-rdf.princeton.edu/wn31/114802595-n
K432,http://wordnet-rdf.princeton.edu/wn31/110229332-n
K433,http://wordnet-rdf.princeton.edu/wn31/109885078-n
K434,http://wordnet-rdf.princeton.edu/wn31/108354251-n
K434,http://wordnet-rdf.princeton.edu/wn31/110393500-n
K442,http://wordnet-rdf.princeton.edu/wn31/108372619-n
K442,http://wordnet-rdf.princeton.edu/wn31/110746321-n
K445,http://wordnet-rdf.princeton.edu/wn31/110588855-n
K445,http://wordnet-rdf.princeton.edu/wn31/110661153-n
K454,http://wordnet-rdf.princeton.edu/wn31/113345319-n
K456,http://wordnet-rdf.princeton.edu/wn31/100334192-n
K456,http://wordnet-rdf.princeton.edu/wn31/100555337-n
K456,http://wordnet-rdf.princeton.edu/wn31/107528747-n
K456,http://wordnet-rdf.princeton.edu/wn31/114002988-n
K456,http://wordnet-rdf.princeton.edu/wn31/114426511-n
K456,http://wordnet-rdf.princeton.edu/wn31/301902992-s
K457,http://wordnet-rdf.princeton.edu/wn31/301902992-s
K458,http://wordnet-rdf.princeton.edu/wn31/109798224-n
K462,http://wordnet-rdf.princeton.edu/wn31/113449594-n
K462,http://wordnet-rdf.princeton.edu/wn31/113449781-n
K462,http://wordnet-rdf.princeton.edu/wn31/113449977-n
K465,http://wordnet-rdf.princeton.edu/wn31/115053251-n
K466,http://wordnet-rdf.princeton.edu/wn31/114123415-n
K467,http://wordnet-rdf.princeton.edu/wn31/301308884-a
K470,http://wordnet-rdf.princeton.edu/wn31/100036418-n
K472,http://wordnet-rdf.princeton.edu/wn31/102687648-n
K472,http://wordnet-rdf.princeton.edu/wn31/105300767-n
K472,http://wordnet-rdf.princeton.edu/wn31/109798721-n
K472,http://wordnet-rdf.princeton.edu/wn31/110192465-n
K478,http://wordnet-rdf.princeton.edu/wn31/302058261-s
K480,http://wordnet-rdf.princeton.edu/wn31/104360881-n
K480,http://wordnet-rdf.princeton.edu/wn31/108435060-n
K480,http://wordnet-rdf.princeton.edu/wn31/114619105-n
K480,http://wordnet-rdf.princeton.edu/wn31/201387824-v
K480,http://wordnet-rdf.princeton.edu/wn31/202633636-v
K480,http://wordnet-rdf.princeton.edu/wn31/300469231-s
K480,http://wordnet-rdf.princeton.edu/wn31/302224381-s
K482,http://wordnet-rdf.princeton.edu/wn31/300469231-s
K483,http://wordnet-rdf.princeton.edu/wn31/100966680-n
K483,http://wordnet-rdf.princeton.edu/wn31/101224100-n
K483,http://wordnet-rdf.princeton.edu/wn31/101239732-n
K483,http://wordnet-rdf.princeton.edu/wn31/104665625-n
K483,http://wordnet-rdf.princeton.edu/wn31/107564033-n
K484,http://wordnet-rdf.princeton.edu/wn31/201120867-v
K484,http://wordnet-rdf.princeton.edu/wn31/300082711-a
K484,http://wordnet-rdf.princeton.edu/wn31/300083236-s
K484,http://wordnet-rdf.princeton.edu/wn31/300514694-s
K484,http://wordnet-rdf.princeton.edu/wn31/300606448-s
K484,http://wordnet-rdf.princeton.edu/wn31/301247720-s
K484,http://wordnet-rdf.princeton.edu/wn31/301358991-s
K486,http://wordnet-rdf.princeton.edu/wn31/104651019-n
K486,http://wordnet-rdf.princeton.edu/wn31/104844463-n
K486,http://wordnet-rdf.princeton.edu/wn31/107564033-n
K487,http://wordnet-rdf.princeton.edu/wn31/109798117-n
K487,http://wordnet-rdf.princeton.edu/wn31/109840655-n
K488,http://wordnet-rdf.princeton.edu/wn31/101106311-n
K496,http://wordnet-rdf.princeton.edu/wn31/106075369-n
K502,http://wordnet-rdf.princeton.edu/wn31/200887978-v
K503,http://wordnet-rdf.princeton.edu/wn31/103457685-n
K503,http://wordnet-rdf.princeton.edu/wn31/113772984-n
K503,http://wordnet-rdf.princeton.edu/wn31/300755631-s
K503,http://wordnet-rdf.princeton.edu/wn31/301281361-s
K503,http://wordnet-rdf.princeton.edu/wn31/301287636-s
K503,http://wordnet-rdf.princeton.edu/wn31/301390083-s
K503,http://wordnet-rdf.princeton.edu/wn31/301593026-s
K503,http://wordnet-rdf.princeton.edu/wn31/301595457-s
K503,http://wordnet-rdf.princeton.edu/wn31/301681111-s
K503,http://wordnet-rdf.princeton.edu/wn31/301897176-s
K503,http://wordnet-rdf.princeton.edu/wn31/302032205-s
K505,http://wordnet-rdf.princeton.edu/wn31/115237251-n
K505,http://wordnet-rdf.princeton.edu/wn31/301229533-s
K505,http://wordnet-rdf.princeton.edu/wn31/301595457-s
K509,http://wordnet-rdf.princeton.edu/wn31/106802658-n
K512,http://wordnet-rdf.princeton.edu/wn31/109640897-n
K512,http://wordnet-rdf.princeton.edu/wn31/109781932-n
K512,http://wordnet-rdf.princeton.edu/wn31/109975866-n
K512,http://wordnet-rdf.princeton.edu/wn31/302234002-s
K512,http://wordnet-rdf.princeton.edu/wn31/302234724-s
K512,http://wordnet-rdf.princeton.edu/wn31/302235691-s
K514,http://wordnet-rdf.princeton.edu/wn31/110283916-n
K514,http://wordnet-rdf.princeton.edu/wn31/110284134-n
K516,http://wordnet-rdf.princeton.edu/wn31/110698621-n
K520,http://wordnet-rdf.princeton.edu/wn31/110447768-n
K523,http://wordnet-rdf.princeton.edu/wn31/110148056-n
K524,http://wordnet-rdf.princeton.edu/wn31/110147226-n
K525,http://wordnet-rdf.princeton.edu/wn31/110440137-n
K527,http://wordnet-rdf.princeton.edu/wn31/110244889-n
K527,http://wordnet-rdf.princeton.edu/wn31/110247655-n
K534,http://wordnet-rdf.princeton.edu/wn31/110320928-n
K539,http://wordnet-rdf.princeton.edu/wn31/109837221-n
K539,http://wordnet-rdf.princeton.edu/wn31/109842689-n
K539,http://wordnet-rdf.princeton.edu/wn31/110370883-n
K539,http://wordnet-rdf.princeton.edu/wn31/110645222-n
K539,http://wordnet-rdf.princeton.edu/wn31/200873606-v
K539,http://wordnet-rdf.princeton.edu/wn31/200920442-v
K540,http://wordnet-rdf.princeton.edu/wn31/110441215-n
K549,http://wordnet-rdf.princeton.edu/wn31/110595965-n
K551,http://wordnet-rdf.princeton.edu/wn31/110074893-n
K551,http://wordnet-rdf.princeton.edu/wn31/110096087-n
K551,http://wordnet-rdf.princeton.edu/wn31/110645222-n
K551,http://wordnet-rdf.princeton.edu/wn31/110787430-n
K563,http://wordnet-rdf.princeton.edu/wn31/110188601-n
K568,http://wordnet-rdf.princeton.edu/wn31/100847013-n
K568,http://wordnet-rdf.princeton.edu/wn31/102460039-n
K568,http://wordnet-rdf.princeton.edu/wn31/106142654-n
K568,http://wordnet-rdf.princeton.edu/wn31/108412639-n
K569,http://wordnet-rdf.princeton.edu/wn31/100073081-n
K569,http://wordnet-rdf.princeton.edu/wn31/104701789-n
K569,http://wordnet-rdf.princeton.edu/wn31/104881134-n
K569,http://wordnet-rdf.princeton.edu/wn31/114462913-n
K569,http://wordnet-rdf.princeton.edu/wn31/114463603-n
K569,http://wordnet-rdf.princeton.edu/wn31/200849158-v
K569,http://wordnet-rdf.princeton.edu/wn31/201534786-v
K569,http://wordnet-rdf.princeton.edu/wn31/201541716-v
K569,http://wordnet-rdf.princeton.edu/wn31/201804404-v
K569,http://wordnet-rdf.princeton.edu/wn31/202242725-v
K569,http://wordnet-rdf.princeton.edu/wn31/202552922-v
K569,http://wordnet-rdf.princeton.edu/wn31/202573434-v
K571,http://wordnet-rdf.princeton.edu/wn31/301773236-s
K572,http://wordnet-rdf.princeton.edu/wn31/104569944-n
K572,http://wordnet-rdf.princeton.edu/wn31/105406970-n
K572,http://wordnet-rdf.princeton.edu/wn31/107951744-n
K572,http://wordnet-rdf.princeton.edu/wn31/109248053-n
K572,http://wordnet-rdf.princeton.edu/wn31/114869913-n
K572,http://wordnet-rdf.princeton.edu/wn31/114871527-n
K572,http://wordnet-rdf.princeton.edu/wn31/114879875-n
K572,http://wordnet-rdf.princeton.edu/wn31/200069341-v
K572,http://wordnet-rdf.princeton.edu/wn31/200228662-v
K572,http://wordnet-rdf.princeton.edu/wn31/200453053-v
K572,http://wordnet-rdf.princeton.edu/wn31/202362872-v
K572,http://wordnet-rdf.princeton.edu/wn31/300124949-a
K591,http://wordnet-rdf.princeton.edu/wn31/107421737-n
K600,http://wordnet-rdf.princeton.edu/wn31/114751687-n
K606,http://wordnet-rdf.princeton.edu/wn31/107865709-n
K606,http://wordnet-rdf.princeton.edu/wn31/115122145-n
K611,http://wordnet-rdf.princeton.edu/wn31/107953443-n
K611,http://wordnet-rdf.princeton.edu/wn31/115033414-n
K611,http://wordnet-rdf.princeton.edu/wn31/200216987-v
K613,http://wordnet-rdf.princeton.edu/wn31/107952333-n
K618,http://wordnet-rdf.princeton.edu/wn31/107942682-n
K625,http://wordnet-rdf.princeton.edu/wn31/114929573-n
K635,http://wordnet-rdf.princeton.edu/wn31/107418861-n
K635,http://wordnet-rdf.princeton.edu/wn31/108519528-n
K635,http://wordnet-rdf.princeton.edu/wn31/109235267-n
K635,http://wordnet-rdf.princeton.edu/wn31/115033414-n
K638,http://wordnet-rdf.princeton.edu/wn31/114881172-n
K639,http://wordnet-rdf.princeton.edu/wn31/105423542-n
K639,http://wordnet-rdf.princeton.edu/wn31/105424022-n
K639,http://wordnet-rdf.princeton.edu/wn31/106623500-n
K639,http://wordnet-rdf.princeton.edu/wn31/113573731-n
K639,http://wordnet-rdf.princeton.edu/wn31/200102728-v
K639,http://wordnet-rdf.princeton.edu/wn31/201831367-v
K643,http://wordnet-rdf.princeton.edu/wn31/114797948-n
K645,http://wordnet-rdf.princeton.edu/wn31/100391894-n
K645,http://wordnet-rdf.princeton.edu/wn31/100511734-n
K645,http://wordnet-rdf.princeton.edu/wn31/100869874-n
K645,http://wordnet-rdf.princeton.edu/wn31/105412667-n
K645,http://wordnet-rdf.princeton.edu/wn31/109433806-n
K645,http://wordnet-rdf.princeton.edu/wn31/200066748-v
K645,http://wordnet-rdf.princeton.edu/wn31/201386929-v
K645,http://wordnet-rdf.princeton.edu/wn31/201559128-v
