ID,Translation-Indonesia
B2126,K35454
B2126,K42160
B2127,K13976
B2127,K14811
B2130,K69805
B2130,K25773
B2130,K64604
B2130,K18416
B2132,K32261
B2134,K71888
B2138,K11952
B2138,K9178
B2138,K62806
B2141,K48689
B2142,K62806
B2142,K32673
B2145,K71888
B2145,K22571
B2148,K55091
B2155,K15240
B2159,K10726
B2163,K63155
B2163,K13790
B2165,K10726
B2165,K45965
B2165,K57404
B2168,K45812
B2168,K39024
B2168,K56933
B2171,K57404
B2171,K10726
B2171,K56349
B2172,K57507
B2177,K65853
B2179,K48365
B2180,K15708
B2187,K61941
B2187,K5585
B2187,K67218
B2192,K60298
B2192,K20130
B2193,K47563
B2193,K30985
B2199,K1427
B2204,K14009
B2204,K61484
B2207,K57824
B2208,K21191
B2208,K32953
B2208,K48986
B2208,K21503
B2211,K55055
B2213,K66073
B2215,K9402
B2226,K18656
B2226,K57404
B2231,K17450
B2231,K18172
B2231,K70361
B2233,K18797
B2245,K18416
B2245,K55060
B2245,K1219
B2261,K26830
B2267,K25392
B2267,K46439
B2267,K27394
B2270,K25392
B2274,K20166
B2274,K54450
B2275,K1219
B2281,K21946
B2281,K42559
B2281,K23360
B2281,K60466
B2281,K864
B2281,K3789
B2284,K6700
B2285,K17970
B2287,K17915
B2287,K32148
B2289,K15083
B2289,K10261
B2291,K18987
B2293,K16878
B2296,K23096
B2301,K70380
B2301,K63019
B2305,K50299
B2309,K63468
B2309,K69058
B2310,K69058
B2314,K16931
B2315,K17212
B2316,K17365
B2320,K11532
B2321,K16948
B2321,K9550
B2325,K16962
B2326,K66738
B2331,K17619
B2331,K18174
B2332,K47537
B2333,K14994
B2333,K4248
B2333,K63425
B2335,K58335
B2337,K17689
B2337,K36524
B2339,K32079
B2339,K32041
B2343,K58851
B2359,K17730
B2364,K17828
B2364,K47861
B2366,K50296
B2371,K30205
B2371,K9920
B2375,K18710
B2379,K20735
B2383,K26687
B2384,K33349
B2386,K50576
B2386,K10608
B2390,K32126
B2392,K46470
B2392,K46470
B2394,K22772
B2398,K66721
B2398,K5413
B2399,K1396
B2399,K1550
B2399,K16987
B2400,K8988
B2400,K7313
B2409,K57845
B2410,K71096
B2411,K60771
B2413,K48930
B2416,K1807
B2417,K2189
B2420,K58447
B2426,K37288
B2427,K17212
B2428,K12688
B2428,K62436
B2431,K55242
B2432,K23505
B2432,K58175
B2432,K6905
B2436,K4304
B2437,K26247
B2437,K19003
B2437,K18950
B2441,K5632
B2442,K30415
B2447,K12243
B2448,K4774
B2453,K53464
B2453,K58118
B2457,K18267
B2458,K49560
B2459,K60242
B2459,K10430
B2462,K18207
B2462,K11429
B2469,K18337
B2474,K1512
B2474,K17904
B2474,K10665
B2478,K51031
B2478,K12105
B2488,K17367
B2488,K2662
B2491,K59634
B2491,K25437
B2491,K18183
B2491,K1550
B2493,K12114
B2496,K61057
B2506,K40861
B2506,K3272
B2508,K11357
B2510,K17216
B2516,K17812
B2516,K17768
B2521,K6760
B2521,K12764
B2521,K10261
B2522,K31995
B2522,K57789
B2527,K25392
B2527,K1567
B2527,K4186
B2528,K17773
B2536,K26826
B2537,K58851
B2537,K19371
B2540,K17768
B2543,K57404
B2545,K11532
B2551,K34773
B2552,K57291
B2552,K58076
B2555,K46170
B2555,K46168
B2555,K22937
B2557,K344
B2559,K22937
B2565,K18517
B2565,K18511
B2568,K31572
B2569,K70643
B2569,K11334
B2570,K60346
B2575,K46170
B2578,K2942
B2580,K7278
B2585,K19024
B2587,K18062
B2590,K21370
B2590,K16945
B2592,K60348
B2598,K64103
B2598,K56994
B2598,K66396
B2598,K8587
B2609,K26826
B2619,K46791
B2623,K4266
B2623,K31140
B2629,K4180
B2632,K19633
B2632,K27343
B2632,K25944
B2632,K66847
B2632,K30195
B2632,K13331
B2632,K59628
B2632,K34117
B2632,K1534
B2636,K28050
B2636,K27914
B2638,K12518
B2640,K24451
B2643,K52795
B2643,K12688
B2647,K17643
B2648,K17675
B2655,K13331
B2655,K66847
B2655,K60091
B2657,K17970
B2657,K10950
B2658,K18049
B2660,K49116
B2664,K60928
B2665,K17049
B2670,K26630
B2670,K5310
B2670,K11224
B2677,K66225
B2683,K57284
B2683,K34350
B2683,K30200
B2683,K60377
B2683,K10701
B2683,K60331
B2688,K17970
B2689,K53808
B2690,K17998
B2693,K20835
B2693,K58922
B2698,K31953
B2698,K68803
B2700,K18738
B2700,K24556
B2703,K17983
B2708,K17202
B2710,K55079
B2713,K58614
B2713,K69004
B2713,K65682
B2714,K19371
B2714,K39105
B2715,K30200
B2715,K32803
B2718,K57789
B2718,K19371
B2721,K48842
B2721,K67660
B2721,K3642
B2721,K53981
B2723,K16574
B2726,K12691
B2726,K48877
B2734,K33302
B2735,K47537
B2735,K48720
B2744,K50324
B2746,K62762
B2746,K19180
B2746,K2050
B2746,K4226
B2750,K18782
B2750,K62484
B2751,K18085
B2751,K33133
B2754,K18423
B2754,K13168
B2754,K13168
B2755,K56723
B2755,K55774
B2757,K22909
B2757,K12633
B2759,K56702
B2762,K27227
B2763,K18453
B2773,K18889
